date,debit,free_credit_cash,free_credit_margin,total_free_credit,gdp_b,mktcap_m,debt_gdp_pct,debt_mktcap_pct,net_leverage
2011-04-01,360883,133131,175399.0,308530.0,15557.539,25726783.0,2.319666368826072,1.4027521435540542,1.1696852818202443
2011-05-01,355736,133727,175508.0,309235.0,15557.539,25726783.0,2.2865827300834662,1.382745755658607,1.1503743107992304
2011-06-01,345273,139575,183547.0,323122.0,15557.539,25726783.0,2.2193291625365683,1.3420760769039797,1.0685530542643336
2011-07-01,344572,138316,182957.0,321273.0,15647.68,21767621.0,2.202064459395898,1.5829566308601204,1.072520877882673
2011-08-01,308866,135508,193533.0,329041.0,15647.68,21767621.0,1.9738772776539397,1.4189240064405753,0.9386854525727797
2011-09-01,298277,141806,204307.0,346113.0,15647.68,21767621.0,1.906205904006217,1.3702783597711483,0.8617908024257973
2011-10-01,317028,133639,188141.0,321780.0,15842.259,23653882.0,2.001154002090232,1.3402789444878433,0.9852321461868357
2011-11-01,303930,132934,188259.0,321193.0,15842.259,23653882.0,1.9184763991044458,1.2849053698669841,0.9462534986752513
2011-12-01,301616,142533,189143.0,331676.0,15842.259,23653882.0,1.9038698963323348,1.2751226204645816,0.9093693845801324
2012-01-01,309844,137309,174889.0,312198.0,16068.805,26478631.0,1.9282329955463398,1.1701662370686763,0.9924599132601747
2012-02-01,323021,139609,177639.0,317248.0,16068.805,26478631.0,2.0102366044021323,1.2199308944635394,1.0181971202340125
2012-03-01,330815,142297,182814.0,325111.0,16068.805,26478631.0,2.0587405223972786,1.2493659509813781,1.0175447770146195
2012-04-01,335154,138909,182021.0,320930.0,16207.115,25437662.0,2.067943616121685,1.3175503314730732,1.0443211915370954
2012-05-01,315147,139111,187938.0,327049.0,16207.115,25437662.0,1.9444978332047373,1.2388992353149437,0.963607899733679
2012-06-01,320952,138937,192149.0,331086.0,16207.115,25437662.0,1.9803154355355659,1.2617197288021202,0.96939163842627
2012-07-01,313525,124330,194741.0,319071.0,16319.541,26838440.0,1.9211631013396762,1.1681938294476133,0.9826182887194386
2012-08-01,320395,124276,196786.0,321062.0,16319.541,26838440.0,1.9632598735466886,1.1937914424236282,0.9979225196379515
2012-09-01,339159,129389,205176.0,334565.0,16319.541,26838440.0,2.0782385975193787,1.2637060872390498,1.0137312629832769
2012-10-01,342325,124800,200406.0,325206.0,16420.419,27062333.0,2.08475191771903,1.264950069160704,1.0526404801879423
